FileRoot,ScanNumber,ScanTime,TIC
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=265,0.927997228,23583870.45
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=266,0.932016367,24618421.73
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=267,0.935868358,26253403.41
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=268,0.939725001,25713064.31
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=269,0.943562442,25473298.75
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=270,0.947404475,23278224.23
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=271,0.951436661,25791921.9
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=272,0.955315212,24226328.74
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=273,0.95935097,27274278.2
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=274,0.963194537,24395389.32
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=275,0.967225937,25704288.09
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=277,0.972283166,27472813.43
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=278,0.975916024,23932272.05
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=279,0.979935948,26973726.07
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=280,0.983781013,24475182.92
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=281,0.987648443,25961273.04
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=282,0.991502333,25752769.67
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=283,0.99534657,26204653.75
