file root,scan number,scan time,total ion current,precursor m/z,precursor charge,precursor mass delta,confidence,annotation,modification,usi
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1775,6.536719726,90812.61743,586.7558029,2,-141.1163943,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1780,6.553189011,55407.56943,405.2994695,2,-504.029061,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1781,6.555544002,239502.3907,435.2207552,2,-444.1864897,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1787,6.5758412,196958.2072,551.2372055,2,-212.153589,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1790,6.584831402,549503.31,471.7288702,2,-371.1702596,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1791,6.587298873,95712.92499,423.2546387,5,801.6451934,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1794,6.596026213,246095.4668,415.0361106,2,-484.5557789,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1795,6.598378004,149953.0623,490.7025121,2,-333.2229757,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1796,6.600665779,83381.99695,769.9917603,2,225.3555205,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1799,6.609455855,176840.5284,478.7366118,2,-357.1547763,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1800,6.611807124,421292.2137,428.2128234,2,-458.2023532,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1801,6.614085622,114487.2167,483.7078103,2,-347.2123794,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1802,6.616365712,318452.3889,442.7264876,2,-429.1750247,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1803,6.618738447,1334957.187,520.6887605,2,-273.250479,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1805,6.623626334,1435050.173,428.8906143,2,-456.8467715,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1809,6.636372134,513918.7991,443.2117574,2,-428.2044852,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1814,6.653016414,750383.723,443.7103666,2,-427.2072668,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1817,6.661890916,210402.9233,456.6996442,2,-401.2287117,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1820,6.670827609,1352417.117,428.7047118,2,-457.2185763,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1826,6.691199697,182946.8954,500.2156889,2,-314.1966223,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1830,6.703978102,196310.7512,542.2737669,2,-230.0804662,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1833,6.712826317,110692.4232,484.2144836,2,-346.1990328,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1834,6.715180735,240182.887,500.7316886,2,-313.1646228,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1837,6.724005897,319880.0095,472.2209647,2,-370.1860707,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1838,6.72635733,259855.4635,435.7125957,2,-443.2028086,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1848,6.761882715,211286.4195,479.2286067,2,-356.1707866,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1851,6.770757929,170157.8913,456.219563,3,54.03068889,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1853,6.775737395,225578.0192,436.8787503,2,-440.8704993,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1856,6.784587864,135690.62,507.2471683,2,-300.1336634,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1857,6.787064797,138326.838,436.7020206,2,-441.2239588,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1865,6.815249886,133190.8572,499.7418756,2,-315.1442489,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1866,6.817610885,494209.1612,536.2501822,2,-242.1276355,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1869,6.826544585,98271.66107,492.7342514,2,-329.1594971,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1870,6.828899509,107721.9575,467.7265245,2,-379.174951,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1873,6.837602526,125033.2692,548.2296254,2,-218.1687492,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1874,6.839953517,233427.9839,555.2239334,2,-204.1801331,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1875,6.842237387,115672.7844,585.2109547,2,-144.2060906,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1877,6.847150804,113117.3855,568.7116343,2,-177.2047315,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1878,6.849517849,189405.9052,564.7098466,2,-185.2083068,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1879,6.851904872,128544.1804,562.70628,2,-189.21544,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1881,6.856693906,110880.6739,575.2110263,2,-164.2059475,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1882,6.859045886,222229.6424,547.2408541,2,-220.1462918,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1883,6.86132946,154528.7283,558.2087836,2,-198.2104328,,,,
